thread_id,inbound_tweet_id,inbound_author_id,inbound_text,inbound_created_at,brand_tweet_id,brand_author_id,brand_reply_text,brand_created_at,inbound_datetime,month_key,intent
1986900_131213,1986900,588139,ATTENTION. @AppleSupport I️ need assistance. My phone won’t let me type an uppercase i. It shows this symbol instead i https://t.co/OsQsvJezGB,Thu Nov 02 03:42:13 +0000 2017,1986899,AppleSupport,"@588139 Hi there. Please let us know which iOS version your device is running in DM, and we'll work on that issue together. https://t.co/GDrqU22YpT",Thu Nov 02 12:42:26 +0000 2017,2017-11-02 03:42:13+00:00,2017-11,other
2057398_141529,2057398,608477,@AppleSupport I can’t get my location to share indefinitely https://t.co/aRjq0zQNK2,Fri Oct 06 20:37:16 +0000 2017,2057397,AppleSupport,@608477 Happy to help! Could you tell us a bit more about how you're trying to share it? Send us a DM and we'll look into this with you. https://t.co/GDrqU22YpT,Fri Oct 06 23:16:31 +0000 2017,2017-10-06 20:37:16+00:00,2017-10,other
1740791_108541,1740791,525212,@AppleSupport Everything is updated,Sun Oct 29 00:11:29 +0000 2017,1740792,AppleSupport,"@525212 Thank you for that information. DM us more details about the issues you are seeing, and we can go from there. https://t.co/GDrqU22YpT",Sun Oct 29 00:19:29 +0000 2017,2017-10-29 00:11:29+00:00,2017-10,software_update_os
1082613_61346,1082613,375373,Hey @118721 @AppleSupport why yes I did purchase @316629‘s album now give it to me damnit! Why isn’t it downloading or downloaded?!? https://t.co/pZNjn4QK1h,Fri Oct 13 16:14:57 +0000 2017,1082612,AppleSupport,"@375373 Let’s work together to figure this out. To cover all bases, check to see if the purchase is hidden: https://t.co/jjLUETEY0J",Fri Oct 13 16:56:00 +0000 2017,2017-10-13 16:14:57+00:00,2017-10,billing_subscription_store
2863559_197924,2863559,795414,@AppleSupport my iPhone 6s Plus keeps crashing since new IOS. Tried re installing etc but no luck...,Mon Nov 27 23:26:13 +0000 2017,2863558,AppleSupport,"@795414 That doesn't sound right. Let's partner up and get things working as expected again. When you say the iPhone crashes, is it restarting unexpectedly? Does this occur when using specific apps? Let's dig into this deeper over DM: https://t.co/GDrqU22YpT",Mon Nov 27 23:31:52 +0000 2017,2017-11-27 23:26:13+00:00,2017-11,software_update_os
2503716_176692,2503716,714055,I recently got my iPhone X and I realized the left side of my speakers don’t work @AppleSupport,Wed Nov 15 19:49:18 +0000 2017,2503714,AppleSupport,"@714055 Hey there! Congratulations on your new iPhone! No need to worry. That is operating as it should. Have a look at the speaker locations, here: https://t.co/ngwnmNILIr The left side is a microphone, while the right is a speaker and a microphone. https://t.co/GDrqU22YpT",Wed Nov 15 20:13:27 +0000 2017,2017-11-15 19:49:18+00:00,2017-11,hardware_display_audio
2680187_186780,2680187,754079,@AppleSupport nothing doing at all ... just finish updating and suddenly screen has gone !!! even i did not get tym to take my backup!!!! ... and there is no sound!!! and one more problme we are facing which is camera problem!!!!,Tue Nov 21 04:47:49 +0000 2017,2680189,AppleSupport,"@754079 Have you tried to force restart it by holding the volume down and side button? If not, give that a shot. Reply in DM so we can gather some more info. https://t.co/GDrqU22YpT",Tue Nov 21 13:19:26 +0000 2017,2017-11-21 04:47:49+00:00,2017-11,software_update_os
1960729_128528,1960729,581551,@AppleSupport what’s going on with iOS 11 battery? My iPhone is turning off and the battery is 20% charged.,Mon Oct 30 22:19:27 +0000 2017,1960728,AppleSupport,"@581551 Let’s take a look at this together. Which exact iOS version are you running? Let us know in DM, and we’ll work there. https://t.co/GDrqU22YpT",Mon Oct 30 22:29:31 +0000 2017,2017-10-30 22:19:27+00:00,2017-10,billing_subscription_store
323000_16529,323000,192935,"Update your iphone they say, it’ll be great they say... I can’t even buy a bar of service thanks @AppleSupport",Sat Oct 07 07:19:08 +0000 2017,322998,AppleSupport,"@192935 If you're having trouble with the iPhone, we'll be happy to help. To get started, can you tell us what seems to be happening?",Sat Oct 07 14:28:25 +0000 2017,2017-10-07 07:19:08+00:00,2017-10,software_update_os
687931_38382,687931,284307,@AppleSupport Did all of that. Won’t even let me restore the phone when connecting it to the computer,Thu Nov 23 16:04:44 +0000 2017,687933,AppleSupport,"@284307 We appreciate you trying those steps. Please let us know in DM what country you're in, we'll continue from there: https://t.co/GDrqU22YpT",Thu Nov 23 17:07:00 +0000 2017,2017-11-23 16:04:44+00:00,2017-11,other
